test_case       curr_best       newk         old            new_all
0               591534          591534      598147          591534
1               521130          521877      522152          519812
2               2925180         2932716     2941582         2921310
3               7262077         7256875     7260095         7258848
4               14334600        14333295    14349466        14312617
5               23165827        23172402    23205738        23140814
6               21460722        21418447    21488003        21449302
7               19796438        19681827    19730120        19574436
8               19431486        19317978    19361271        19198628
9               382498          370864      388155          372915
10              405900          397574      408850          396715
